"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Subcomplex"
"57","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_5_substack_frame_1_middleslice",1293.81,542.96,2.38,0.42,3.28,7.75,4.27,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_5",289.442953020134,165.536585365854,0.571914374278577,1.74851349253359,3,"Nup2-GFP","Basket"
"58","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_6_substack_frame_1_middleslice",1167.39,480.92,2.43,0.41,2.91,7.11,3.85,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_6",277.95,165.264604810997,0.594583935279714,1.68184833236297,3,"Nup2-GFP","Basket"
"59","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_1_substack_frame_1_middleslice",1662.21,585.98,2.84,0.35,3.28,8.03,4.37,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_1",349.938947368421,178.65243902439,0.510524593983825,1.95876949276156,3,"Nup2-GFP","Basket"
"60","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_2_substack_frame_1_middleslice",1769.27,525.72,3.37,0.3,3.42,8.04,4.44,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_2",382.958874458875,153.719298245614,0.401398971267662,2.49128690300797,3,"Nup2-GFP","Basket"
"61","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_3_substack_frame_1_middleslice",1221.55,468.37,2.61,0.38,3.12,7.32,4.1,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_3",290.845238095238,150.11858974359,0.516145943205826,1.93743651996742,3,"Nup2-GFP","Basket"
"62","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_4_substack_frame_1_middleslice",1617.61,688.02,2.35,0.43,4.2,9.42,5.37,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_4",309.886973180077,163.814285714286,0.528625918131423,1.89169687996907,3,"Nup2-GFP","Basket"
"63","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_5_substack_frame_1_middleslice",1706.46,672.81,2.54,0.39,3.24,8,4.43,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_5",358.5,207.657407407407,0.579239630146185,1.72640121282383,3,"Nup2-GFP","Basket"
"64","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_6_substack_frame_1_middleslice",1212.72,448.9,2.7,0.37,3.19,7.67,4.17,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_6",270.696428571429,140.721003134796,0.519848022663011,1.92363913375553,3,"Nup2-GFP","Basket"
"65","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_7_substack_frame_1_middleslice",1283.38,564.52,2.27,0.44,3.26,7.79,4.37,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_7",283.306843267108,173.165644171779,0.611230008335925,1.63604532886483,3,"Nup2-GFP","Basket"
"66","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_1_substack_frame_1_middleslice",1151.25,399.82,2.88,0.35,2.88,7.41,3.89,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_1",254.139072847682,138.826388888889,0.546261491132827,1.83062510580092,3,"Nup2-GFP","Basket"
